Feature,SHAP_Importance,Percentage
Walmart,0.08200575625723494,21.926092951110135
MA30,0.06709473734189357,17.93929493039568
S&P500,0.06483993092019644,17.33642145607747
MA7,0.06334649695416114,16.93711812116376
OBV,0.051664427796245686,13.813652819358765
ATR,0.011830494316278159,3.16315012354282
Interest,0.006891524329216086,1.8426048354855298
Diluted EPS,0.006171657858181204,1.6501322594533328
Current Ratio,0.005594917661119975,1.4959277286184574
Debt to Equity,0.0034396653044918173,0.9196722843506776
ADX,0.0022239899760169075,0.5946340008562725
Unemployment,0.0020121972752413543,0.5380064340181002
CPI,0.0014302097402625286,0.38239890875724536
Volume,0.0013597756896751077,0.36356677293425876
RSI,0.0013204583574938057,0.35305439527514965
GDP,0.001304201875569301,0.34870785730022197
Cash Conversion Cycle,0.0012645892050346269,0.33811651425522277
Net Income Margin,0.00021485973226296958,0.057447607046887984
